method,cell,paper_claim_scope,local_commit,source_status,runtime_status,matrix_scope,interface_evidence,pid_data_boundary,blocker_or_condition,repro_command,runtime_evidence
A,F1,published async RL snapshot; X1/X2 extended consistency not default paper promise,b83d1f40196e5bd7d9f83092563443561870d550,source-supported,runtime-unverified,planned,P0_INTERFACE_AUDIT.md evidence ID A5,generation service worker; completed responses may survive in workflow parent,role restart/reconnect and group-to-update recovery unverified,python -m pytest tests/test_recover.py tests/test_grouped_rollout_workflow.py tests/test_async_reward_wrapper.py -q (from third_party/areal; library tests only),p0_evidence/official_tests_r2.log; p0_evidence/cpu_contracts.log (library/Mock coverage only; no cell recovery PASS)
A,F2,published async RL snapshot; X1/X2 extended consistency not default paper promise,b83d1f40196e5bd7d9f83092563443561870d550,source-supported,engine-continuity-pass; fault-cell-unverified,planned,P0_INTERFACE_AUDIT.md evidence ID A1-A4,optimizer engine rank; updated GPU state versus prior complete checkpoint,non-LoRA v1 Megatron; full optimizer; default sync completion versus async finalize distinct; new-process state required,python -m pytest tests/test_recover.py tests/test_grouped_rollout_workflow.py tests/test_async_reward_wrapper.py -q (from third_party/areal; library tests only),p0_evidence/official_tests_r2.log; p0_evidence/cpu_contracts.log (library/Mock coverage only; no cell recovery PASS); p0_evidence/verification.json (single-rank sync engine only; no F2 injection)
A,F3,published async RL snapshot; X1/X2 extended consistency not default paper promise,b83d1f40196e5bd7d9f83092563443561870d550,unavailable,not-applicable-to-audited-path,predeclared-N/A-audited-v1-path,P0_INTERFACE_AUDIT.md evidence ID A6,in-memory dispatcher consumer; no durable unacked set,N/A only audited v1 RLVR/grouped in-memory dispatcher; do not synthesize ACK,python -m pytest tests/test_recover.py tests/test_grouped_rollout_workflow.py tests/test_async_reward_wrapper.py -q (from third_party/areal; library tests only),p0_evidence/official_tests_r2.log; p0_evidence/cpu_contracts.log (library/Mock coverage only; no cell recovery PASS)
A,F4,published async RL snapshot; X1/X2 extended consistency not default paper promise,b83d1f40196e5bd7d9f83092563443561870d550,partial-source-mapping,runtime-unverified,planned,P0_INTERFACE_AUDIT.md evidence ID A5,native reward pool child; response objects remain in workflow parent if parent survives,all K generated plus K/2 score cut not runtime established; forced two-phase workflow requires design revision,python -m pytest tests/test_recover.py tests/test_grouped_rollout_workflow.py tests/test_async_reward_wrapper.py -q (from third_party/areal; library tests only),p0_evidence/official_tests_r2.log; p0_evidence/cpu_contracts.log (library/Mock coverage only; no cell recovery PASS)
A,X1,published async RL snapshot; X1/X2 extended consistency not default paper promise,b83d1f40196e5bd7d9f83092563443561870d550,partial-source-mapping,runtime-unverified,planned,P0_INTERFACE_AUDIT.md evidence ID A5-A6,reward callable process to workflow; rollout callback has no reward payload,real differing verifier callable/retry needed; notification callback cannot inject scalar reward,python -m pytest tests/test_recover.py tests/test_grouped_rollout_workflow.py tests/test_async_reward_wrapper.py -q (from third_party/areal; library tests only),p0_evidence/official_tests_r2.log; p0_evidence/cpu_contracts.log (library/Mock coverage only; no cell recovery PASS)
A,X2,published async RL snapshot; X1/X2 extended consistency not default paper promise,b83d1f40196e5bd7d9f83092563443561870d550,partial-source-mapping,runtime-unverified,planned,P0_INTERFACE_AUDIT.md evidence ID A6,controller callback notification then worker wait_for_task; no mapped durable attempt identity,duplicate notification alone is not old-attempt result race; no internal-state mutation allowed,python -m pytest tests/test_recover.py tests/test_grouped_rollout_workflow.py tests/test_async_reward_wrapper.py -q (from third_party/areal; library tests only),p0_evidence/official_tests_r2.log; p0_evidence/cpu_contracts.log (library/Mock coverage only; no cell recovery PASS)
A+R,F1,published async RL snapshot; X1/X2 extended consistency not default paper promise,b83d1f40196e5bd7d9f83092563443561870d550,source-supported,runtime-unverified,planned,P0_INTERFACE_AUDIT.md evidence ID A5,generation service worker; completed responses may survive in workflow parent,role restart/reconnect and group-to-update recovery unverified; full R adapter not implemented in P0,python -m pytest tests/test_recover.py tests/test_grouped_rollout_workflow.py tests/test_async_reward_wrapper.py -q (from third_party/areal; library tests only),p0_evidence/official_tests_r2.log; p0_evidence/cpu_contracts.log (library/Mock coverage only; no cell recovery PASS)
A+R,F2,published async RL snapshot; X1/X2 extended consistency not default paper promise,b83d1f40196e5bd7d9f83092563443561870d550,source-supported,runtime-unverified,planned,P0_INTERFACE_AUDIT.md evidence ID A1-A4,optimizer engine rank; updated GPU state versus prior complete checkpoint,non-LoRA v1 Megatron; full optimizer; default sync completion versus async finalize distinct; new-process state required; full R adapter not implemented in P0,python -m pytest tests/test_recover.py tests/test_grouped_rollout_workflow.py tests/test_async_reward_wrapper.py -q (from third_party/areal; library tests only),p0_evidence/official_tests_r2.log; p0_evidence/cpu_contracts.log (library/Mock coverage only; no cell recovery PASS)
A+R,F3,published async RL snapshot; X1/X2 extended consistency not default paper promise,b83d1f40196e5bd7d9f83092563443561870d550,unavailable,not-applicable-to-audited-path,predeclared-N/A-audited-v1-path,P0_INTERFACE_AUDIT.md evidence ID A6,in-memory dispatcher consumer; no durable unacked set,N/A only audited v1 RLVR/grouped in-memory dispatcher; do not synthesize ACK; full R adapter not implemented in P0,python -m pytest tests/test_recover.py tests/test_grouped_rollout_workflow.py tests/test_async_reward_wrapper.py -q (from third_party/areal; library tests only),p0_evidence/official_tests_r2.log; p0_evidence/cpu_contracts.log (library/Mock coverage only; no cell recovery PASS)
A+R,F4,published async RL snapshot; X1/X2 extended consistency not default paper promise,b83d1f40196e5bd7d9f83092563443561870d550,partial-source-mapping,runtime-unverified,planned,P0_INTERFACE_AUDIT.md evidence ID A5,native reward pool child; response objects remain in workflow parent if parent survives,all K generated plus K/2 score cut not runtime established; forced two-phase workflow requires design revision; full R adapter not implemented in P0,python -m pytest tests/test_recover.py tests/test_grouped_rollout_workflow.py tests/test_async_reward_wrapper.py -q (from third_party/areal; library tests only),p0_evidence/official_tests_r2.log; p0_evidence/cpu_contracts.log (library/Mock coverage only; no cell recovery PASS)
